Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Duel%D3,DuelsD3,SeqShotStart,SeqGoalStart,RcvryA3,RcvryM3,Clrnce,Tckl,Shoot%,CrsPs%,CrossOpen,TchsA3,ThrghBalls,Ps%Att3rd,Pass%OpHf,LongBall%,LgBallCp,ShirtNumber,PrefFoot,xG,Offsides,ErrShot,FoulCom,Position,BgChncGoal,Cleared,RedsResc,Red,Yellow,Int,PsCmpInBox,GoalOBx,ShtOBox,OFF,FoulSuf,PsLostD3,PsLostA3,PsLostM3,PossLost,KeyPass,TouchOpBox,PsCmpSoP,PsSoP,PsOpHfScs,DuelLs,AerialLoss,AerialWon,SucflDuels,DuelsOff,Aerials,Duels,DuelsDef,ChancesCreatedPer90,CrossCmp,Crosses,ShtAf1v1,xAAf1v1,Sc1v1InBox,1v1InBox,Success1v1,1v1%,1v1,PsDist,PsCmpA3,PsRecA3,PsOppHalf,PsInA3rd,PsIntoOpHf,ProgPass,FwdPass,PsCmp,PsRec,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
93,75ln248xvpebdwz0u572j133d,488349,O. Katz,Omer Ben Kats,Goalkeeper,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,488201,Omer Ben,Kats,Goalkeeper,21,1890,26,93.3%,0.71,0.24,0.00,0.00,0.05,0.29,0.10,-,-,0.00,0.00,0.00,22.4%,-,58.9%,6.67,1,,0.00,0.00,0.05,0.00,Goalkeeper,0.00,0.43,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.10,10.71,0.00,0.14,10.86,0.00,0.00,0.05,0.05,4.33,0.05,0.00,0.52,0.67,0.00,0.52,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,100.0%,0.05,35.7,0.00,0.00,13.05,0.00,13.05,0.05,18.67,18.71,13.43,39.57,29.43,63.6%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,66.7%,93.3%,100.0%,1.10
94,bnvn62bvgnxme73r0zd7ctx3p,139170,R. Gordana,Roei Gordana,Central Midfielder,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74361,Roei,Gordana,Central Midfielder,30,1882,33,70.7%,3.59,1.96,0.29,0.86,4.16,0.57,2.68,14.3%,20.5%,0.48,12.72,0.29,68.9%,81.5%,12.0%,3.40,8,right,0.06,0.10,0.05,1.72,Central Midfielder,0.00,0.00,0.00,0.00,0.29,1.00,1.05,0.10,0.62,0.38,3.25,2.63,3.97,6.79,13.39,1.15,0.48,0.72,0.81,20.99,4.83,0.57,0.57,7.60,5.50,1.15,12.43,6.93,1.24,0.43,2.10,0.05,0.00,0.00,0.00,1.10,45.1%,2.44,19.2,5.83,5.07,26.83,7.41,5.83,6.84,13.44,44.23,39.26,70.73,52.60,84.1%,79.2%,1.24,0.10,0.11,0.10,0.06,0.67,1.15,0.29,25.0%,48.8%,61.2%,50.0%,7.13
95,8t2kws8ypu1l6zbcuinkjw4mi,534495,G. Cohen,Gil Cohen,Left Back,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,463567,Gil,Cohen,Left Back,22,1881,23,53.7%,3.21,0.67,0.05,0.10,2.20,2.44,1.20,0.0%,9.1%,0.53,4.93,0.00,65.1%,79.1%,15.3%,3.49,3,left,0.00,0.00,0.05,1.05,Left Back,0.00,0.00,0.00,0.00,0.19,2.11,0.24,0.00,0.05,0.05,0.81,4.45,1.44,5.98,11.87,0.38,0.24,0.14,0.19,12.25,3.97,1.34,1.20,3.97,2.15,2.54,7.94,5.79,0.38,0.05,0.53,0.05,0.00,0.05,0.10,0.77,53.3%,1.44,19.8,1.53,1.91,16.70,1.87,7.56,5.41,15.45,30.14,25.45,55.31,37.46,80.5%,82.1%,0.38,0.00,0.01,0.00,0.00,0.05,0.10,0.00,0.0%,48.8%,50.0%,47.2%,6.03
96,4v7uk2jzifp716lchq1zdaesq,669461,O. Agvadish,Omer Agvadish,Right Back,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549496,Omer,Agvadish,Right Back,25,1857,23,58.8%,3.30,0.78,0.05,0.24,2.23,1.60,2.08,0.0%,23.8%,1.84,12.60,0.00,53.5%,69.3%,20.8%,2.13,16,,0.05,0.05,0.00,0.39,Right Back,0.00,0.00,0.00,0.00,0.15,2.33,1.02,0.00,0.19,0.29,0.63,6.01,4.89,8.77,19.68,0.44,0.87,0.10,0.15,10.76,3.54,1.31,0.73,4.46,2.81,2.04,8.00,5.19,0.53,0.48,2.04,0.00,0.00,0.05,0.05,1.02,56.8%,1.79,19.6,4.65,5.82,18.37,5.86,6.20,3.49,14.64,23.46,23.75,58.74,33.83,69.3%,79.3%,0.53,0.10,0.04,0.00,0.05,0.44,0.73,0.15,20.0%,57.4%,55.8%,35.7%,5.57
97,2dzasf5mpqm32122nbisje8d1,179842,S. Piven,Shahar Piven,Right Centre Back,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,456362,Shahar,Piven,Right Centre Back,24,1851,28,63.0%,3.55,0.68,0.00,0.19,2.58,4.28,1.60,0.0%,50.0%,0.10,3.70,0.10,55.5%,76.2%,21.4%,6.56,2,,0.03,0.00,0.00,0.68,Right Centre Back,0.00,0.00,0.00,0.00,0.19,2.04,0.53,0.00,0.05,0.49,0.39,5.83,0.73,6.37,12.93,0.49,0.92,0.49,0.73,15.85,3.11,1.17,2.33,4.47,1.65,3.50,7.59,5.93,0.53,0.05,0.10,0.00,0.00,0.00,0.00,0.15,50.0%,0.29,22.5,1.85,0.88,23.44,2.14,14.25,7.29,22.80,48.18,39.68,73.52,59.66,80.8%,86.4%,0.53,0.05,0.06,0.00,0.03,0.53,0.68,0.05,7.1%,42.3%,59.0%,66.7%,5.74
98,7q7awmtwv66htmei0xy1hzdn9,152821,A. Biyogo Poko,André Biyogo Poko,Right Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,106130,André,Biyogo Poko,Right Back,26,1841,31,62.0%,6.94,1.27,0.15,0.29,3.57,1.42,4.40,0.0%,24.0%,1.22,10.36,0.10,75.0%,84.3%,12.0%,3.13,12,right,0.01,0.05,0.15,0.73,Right Back,0.00,0.00,0.00,0.00,0.05,1.32,0.93,0.00,0.05,0.05,1.32,5.96,3.86,6.89,16.72,0.98,0.93,0.20,0.39,18.87,5.82,0.59,0.83,8.70,4.79,1.42,14.52,9.73,1.08,0.29,1.22,0.00,0.01,0.05,0.05,2.15,57.1%,3.76,17.6,4.11,4.69,23.51,5.33,6.40,7.53,18.53,41.36,38.67,76.51,49.52,83.5%,78.5%,1.08,0.10,0.07,0.00,0.01,0.10,0.20,0.05,25.0%,50.0%,59.9%,58.6%,7.68
99,8ctd6gsllzgnf4oldan6xs57u,651412,S. Broun,Samuel Broun,Central Midfielder,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,433687,Samuel,Broun,Central Midfielder,28,1827,26,56.3%,2.36,0.64,0.10,0.39,1.72,1.58,2.02,0.0%,18.2%,0.49,8.42,0.20,71.4%,76.8%,11.7%,1.08,15,,0.02,0.10,0.00,1.08,Central Midfielder,0.00,0.00,0.00,0.00,0.20,1.33,0.44,0.00,0.05,0.20,0.64,2.27,3.15,3.84,9.26,0.34,0.99,0.20,0.25,8.97,5.12,1.63,0.54,3.45,3.99,2.17,8.57,4.58,0.39,0.10,0.54,0.00,0.00,0.00,0.05,0.25,21.7%,1.13,16.7,3.55,3.45,12.71,5.02,2.71,2.41,7.39,15.42,13.55,34.58,20.69,74.5%,71.3%,0.39,0.05,0.06,0.00,0.02,0.25,0.44,0.05,11.1%,52.6%,40.2%,25.0%,3.94
100,afj5u37835t1dkagjc9jmxppm,846119,O. Bilu,Oz Bilu,Right Winger,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512415,Oz,Bilu,Right Winger,32,1825,23,61.9%,2.07,0.64,0.05,0.94,2.56,0.54,1.23,5.1%,15.8%,2.22,27.72,0.30,63.7%,69.6%,5.8%,0.89,10,,0.30,0.15,0.00,1.28,Right Winger,0.05,0.00,0.00,0.00,0.10,0.35,1.78,0.00,0.44,0.74,1.38,1.38,11.74,6.02,19.13,0.99,5.18,0.15,0.15,15.44,6.61,1.38,0.74,4.24,6.66,2.12,10.85,4.19,1.23,0.44,2.81,0.30,0.03,0.20,0.54,0.89,30.0%,2.96,15.6,10.70,16.96,22.64,15.24,1.58,3.01,6.90,20.12,29.39,48.53,28.80,69.9%,70.5%,1.23,0.25,0.13,0.10,0.30,1.92,2.27,1.18,52.2%,28.8%,39.1%,34.9%,5.33
101,36m1tv6cndqn8hnmdk979fpp1,92580,I. Vered,Idan Vered,Central Midfielder,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74323,Idan,Vered,Central Midfielder,28,1816,35,54.3%,2.28,1.09,0.05,0.59,3.17,0.64,2.03,7.7%,34.0%,1.64,16.90,0.15,62.2%,65.7%,16.9%,1.59,10,left,0.17,0.25,0.00,0.89,Central Midfielder,0.10,0.00,0.00,0.05,0.05,0.69,1.98,0.00,0.35,0.74,1.24,2.53,6.94,8.33,17.79,2.08,3.12,0.45,0.59,12.04,6.69,2.08,0.89,5.15,7.09,2.97,11.84,4.76,2.18,0.84,2.48,0.10,0.01,0.15,0.25,1.04,38.9%,2.68,19.2,5.40,8.03,19.77,8.03,4.31,5.06,11.80,16.70,21.56,46.69,26.46,63.1%,68.1%,2.18,0.10,0.12,0.10,0.17,1.29,1.69,0.55,32.4%,43.1%,43.5%,30.0%,5.95
102,atnvw7p7jdqbhscbipsxjaymt,278194,O. Biton,Oren Biton,Left Back,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,234840,Oren,Biton,Left Back,27,1814,30,67.4%,2.13,1.69,0.15,0.50,1.29,1.64,1.14,0.0%,26.9%,2.78,15.73,0.10,68.2%,77.4%,13.8%,2.38,12,left,0.00,0.10,0.05,0.74,Left Back,0.00,0.00,0.00,0.00,0.35,1.39,2.33,0.00,0.05,0.05,0.94,5.16,6.25,5.66,17.07,1.64,0.79,0.10,0.15,14.44,2.58,0.79,1.04,3.18,1.84,1.84,5.76,3.92,1.89,1.39,5.16,0.00,0.01,0.00,0.00,0.20,50.0%,0.40,18.7,5.21,7.00,19.75,6.75,5.71,4.66,18.06,29.37,30.91,60.43,37.76,77.8%,77.2%,1.89,0.25,0.18,0.00,0.00,0.05,0.05,0.00,0.0%,45.5%,55.2%,56.8%,4.02
103,96r8367aja3rsyxmpq6igs8kq,768611,H. Fuchs,Hadar Fuchs,Right Centre Back,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549367,Hadar,Fuchs,Right Centre Back,21,1812,20,68.1%,3.43,0.25,0.00,0.00,1.29,4.72,1.99,0.0%,66.7%,0.15,1.64,0.00,47.7%,79.6%,27.0%,4.72,44,,0.04,0.00,0.05,0.40,Right Centre Back,0.00,0.00,0.00,0.00,0.05,1.49,0.40,0.00,0.00,0.20,0.30,6.61,0.30,5.56,12.47,0.05,0.60,1.44,1.84,11.67,2.33,0.99,2.19,4.67,1.34,3.18,7.00,5.66,0.05,0.10,0.15,0.00,0.00,0.00,0.00,0.20,100.0%,0.20,23.6,0.45,0.35,19.12,0.60,11.08,4.97,18.92,31.64,28.51,55.93,42.86,73.8%,75.0%,0.05,0.00,0.02,0.00,0.04,0.30,0.40,0.10,25.0%,32.7%,66.7%,68.8%,3.43
104,3ih5g351rvacdm4spf797vhn8,929490,T. Archel,Tal Archel,Right Centre Back,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,560725,Tal,Archel,Right Centre Back,24,1809,21,65.5%,4.33,0.50,0.00,0.25,1.19,2.69,2.54,12.5%,25.0%,0.35,4.28,0.05,56.1%,77.2%,17.3%,2.84,18,,0.02,0.00,0.00,1.00,Right Centre Back,0.00,0.00,0.00,0.05,0.20,1.49,0.45,0.05,0.35,0.35,0.40,4.68,1.29,6.22,12.19,0.45,0.25,0.25,0.45,11.04,3.28,0.80,1.34,4.88,1.69,2.14,8.16,6.47,0.45,0.15,0.60,0.00,0.00,0.00,0.05,0.65,61.9%,1.04,20.1,1.49,1.64,16.02,1.99,7.06,4.63,14.23,30.60,28.16,56.17,38.36,79.8%,76.9%,0.45,0.00,0.02,0.05,0.02,0.40,0.60,0.05,8.3%,38.2%,59.8%,62.8%,3.58
105,2gpt4ph0jpaaj49fnnmpdc1qt,166020,E. Shamir,Eden Shamir,Central Midfielder,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,179067,Eden,Shamir,Central Midfielder,27,1807,28,68.0%,2.49,1.00,0.05,0.20,2.19,1.54,1.94,16.7%,0.0%,0.15,8.12,0.05,68.5%,79.3%,4.5%,1.10,20,right,0.13,0.05,0.05,1.49,Central Midfielder,0.10,0.00,0.00,0.00,0.20,1.94,0.40,0.00,0.55,0.45,1.10,2.54,2.04,6.33,10.91,0.60,1.34,0.10,0.20,15.84,4.58,1.15,2.14,5.58,4.28,3.29,10.16,5.88,0.70,0.00,0.15,0.05,0.00,0.05,0.05,0.45,60.0%,0.75,15.9,3.74,3.09,20.72,4.83,4.33,4.23,12.40,34.02,29.63,56.13,41.89,81.2%,78.9%,0.70,0.10,0.04,0.15,0.13,0.90,1.10,0.45,40.9%,41.1%,54.9%,65.2%,4.43
106,3yfvl7m4bfl9oq3iew3rwa8d1,246621,F. Friday,Fred Friday,Centre Forward,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,169520,Fred,Friday,Centre Forward,31,1791,29,42.9%,0.70,0.35,0.05,0.85,1.31,0.40,0.55,8.1%,8.3%,0.60,22.86,0.05,80.2%,82.2%,3.6%,0.50,9,right,0.45,0.90,0.00,1.06,Centre Forward,0.15,0.00,0.00,0.00,0.05,0.05,0.65,0.00,0.30,0.95,1.66,0.50,8.49,4.72,13.72,0.50,5.58,0.15,0.15,11.46,7.64,2.11,0.85,4.67,10.55,2.96,12.31,1.76,0.65,0.05,0.60,0.15,0.03,0.25,1.01,1.61,35.6%,4.52,13.8,7.89,12.41,13.97,9.75,0.70,1.86,3.72,16.38,21.21,40.35,19.45,84.2%,81.8%,0.65,0.15,0.06,0.15,0.45,1.86,2.41,0.90,37.5%,35.0%,38.0%,28.8%,2.76
106,9e91yukyer3hhh06q7yhavwus,883848,P. Ipole,Philip Ipole,Right Centre Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,534129,Philip,Ipole,Right Centre Back,26,1791,23,64.4%,3.67,0.60,0.00,0.05,1.16,5.08,1.26,0.0%,0.0%,0.00,1.26,0.00,42.3%,76.6%,16.6%,2.16,4,right,0.01,0.10,0.05,0.90,Right Centre Back,0.00,0.00,0.00,0.00,0.25,2.41,0.10,0.00,0.05,0.15,0.20,4.47,0.40,3.57,8.44,0.15,0.65,0.65,0.70,6.28,2.66,1.21,2.91,4.52,1.56,4.12,7.19,5.63,0.20,0.00,0.05,0.00,0.00,0.00,0.00,0.15,60.0%,0.25,21.1,0.45,0.30,11.11,0.60,7.89,2.71,15.98,29.90,24.37,50.35,37.49,79.8%,75.0%,0.20,0.05,0.02,0.00,0.01,0.25,0.25,0.10,40.0%,40.0%,62.9%,70.7%,3.77
108,8pxup7wz3hbg0xxdo0yb3izca,757055,K. Jaber,Karem Jaber,Right Back,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,504769,Karem,Jaber,Right Back,23,1768,23,59.4%,3.51,1.17,0.05,0.20,1.73,2.85,2.19,0.0%,26.5%,1.73,13.44,0.00,71.9%,81.3%,9.7%,2.19,26,,0.00,0.15,0.00,1.22,Right Back,0.00,0.00,0.00,0.00,0.56,1.68,1.37,0.00,0.00,0.05,0.71,4.79,5.50,9.21,19.50,0.81,1.22,0.41,0.41,18.38,4.17,1.43,1.78,4.89,2.85,3.21,9.06,6.21,0.81,0.46,1.73,0.00,0.00,0.00,0.00,0.20,23.5%,0.87,17.4,4.94,6.62,24.38,6.01,7.23,6.06,17.00,36.30,32.78,71.37,45.25,80.2%,82.9%,0.81,0.00,0.11,0.00,0.00,0.05,0.05,0.00,0.0%,51.6%,53.9%,55.6%,4.68
109,5km2ec4z7tiuoj9wnf3kde02d,247836,L. Serdal,Liran Serdal,Central Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,222956,Liran,Serdal,Central Midfielder,31,1764,29,54.5%,1.68,0.61,0.00,0.46,1.68,0.46,2.19,12.0%,17.6%,0.87,11.33,0.10,69.9%,77.1%,5.4%,0.56,24,,0.18,0.20,0.00,1.68,Central Midfielder,0.15,0.00,0.00,0.00,0.46,1.07,0.56,0.00,0.10,0.82,0.66,1.02,3.11,5.46,9.59,0.61,2.35,0.05,0.05,10.51,5.77,1.63,1.02,4.29,5.00,2.65,10.05,5.05,0.61,0.15,0.87,0.00,0.00,0.00,0.00,0.41,42.1%,0.97,14.9,4.44,4.85,14.18,5.66,2.14,3.11,7.76,19.34,19.59,39.08,24.69,78.3%,79.8%,0.61,0.00,0.05,0.15,0.18,1.28,1.68,0.46,27.3%,38.2%,42.6%,38.5%,2.91
110,cy8s5zsli91q4crsaiwfzysph,177856,A. Ožbolt,Alen Ozbolt,Centre Forward,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,192276,Alen,Ozbolt,Centre Forward,30,1762,27,50.0%,0.41,0.31,0.05,0.66,0.77,0.36,0.26,16.1%,22.2%,0.46,12.97,0.05,67.5%,71.7%,6.1%,0.82,9,right,0.43,0.51,0.00,0.46,Centre Forward,0.26,0.00,0.00,0.00,0.15,0.10,0.72,0.00,0.20,0.66,0.41,0.77,3.83,5.06,9.65,0.66,3.83,0.05,0.10,9.14,3.73,1.63,0.56,1.58,4.29,2.20,5.31,1.02,0.77,0.10,0.46,0.05,0.00,0.10,0.20,0.36,33.3%,1.07,15.4,5.72,7.10,13.08,7.46,0.97,1.99,3.83,14.86,16.45,30.19,20.07,74.0%,77.2%,0.77,0.10,0.08,0.26,0.43,1.58,2.09,0.92,43.9%,16.7%,29.8%,25.6%,1.74
111,aixfeclzw9robhgqnoph89045,204654,S. Bourard,Samy Bourard,Centre Attacking Midfielder,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,169541,Samy,Bourard,Centre Attacking Midfielder,26,1756,28,58.1%,1.59,1.85,0.15,0.51,2.56,0.15,1.79,5.3%,26.5%,2.10,18.66,0.15,69.3%,72.3%,7.6%,1.08,10,right,0.14,0.21,0.00,2.10,Centre Attacking Midfielder,0.05,0.00,0.00,0.00,0.41,0.87,2.20,0.00,0.56,0.67,1.64,1.49,7.74,9.12,18.35,2.20,2.00,0.05,0.05,13.07,6.15,1.28,0.87,4.61,5.89,2.15,10.76,4.87,2.36,1.33,5.02,0.05,0.00,0.05,0.15,0.31,16.7%,1.85,17.6,6.20,9.94,18.55,8.00,2.82,3.69,8.66,19.78,26.34,49.41,27.47,72.0%,77.6%,2.36,0.15,0.14,0.05,0.14,0.97,1.79,0.31,17.1%,43.1%,42.9%,40.5%,4.31
112,6a83jylolhagexy8fdzt3q82y,619787,G. Herman,Gai Herman,Goalkeeper,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,590907,Gai,Herman,Goalkeeper,20,1755,24,77.8%,0.46,0.56,0.10,0.00,0.00,0.62,0.00,-,-,0.00,0.00,0.00,12.5%,-,56.0%,4.00,55,,0.00,0.00,0.10,0.00,Goalkeeper,0.00,0.31,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.26,10.21,0.00,0.05,10.26,0.00,0.00,0.00,0.00,2.15,0.10,0.00,0.26,0.36,0.00,0.26,0.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,35.2,0.00,0.00,10.21,0.00,10.21,0.00,15.49,14.46,9.18,36.31,24.36,59.4%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,77.8%,100.0%,1.08
113,c4yeganjgipmrvr7wpzkss53p,89393,E. Tibi,Eitan Tibi,Left Centre Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74318,Eitan,Tibi,Left Centre Back,25,1729,36,72.2%,2.81,0.52,0.00,0.05,2.24,2.34,1.20,0.0%,0.0%,0.05,2.50,0.21,55.0%,84.6%,12.7%,3.59,18,right,0.03,0.00,0.05,0.62,Left Centre Back,0.00,0.00,0.00,0.00,0.10,1.51,0.36,0.00,0.05,0.26,0.31,3.96,0.57,3.96,8.48,0.47,0.73,0.21,0.31,14.00,2.29,0.88,1.35,3.64,1.20,2.24,5.93,4.74,0.47,0.00,0.05,0.00,0.00,0.00,0.00,0.83,88.9%,0.94,20.4,1.09,0.78,18.84,1.41,9.37,5.57,19.00,49.55,41.95,67.83,57.05,86.9%,77.8%,0.47,0.00,0.05,0.00,0.03,0.26,0.42,0.00,0.0%,51.5%,61.4%,60.5%,4.63
114,5se3q4aim0hm17xyb0k65g355,328351,D. Nir,Dror Nir,Left Back,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607131,Dror,Nir,Left Back,21,1718,30,70.9%,4.51,0.79,0.00,0.16,1.62,1.83,2.20,0.0%,31.1%,2.41,11.89,0.16,43.5%,60.1%,23.4%,2.62,23,left,0.02,0.00,0.00,0.84,Left Back,0.00,0.00,0.00,0.00,0.16,1.83,1.47,0.00,0.10,0.16,1.00,6.39,5.08,8.64,20.12,0.84,0.68,0.10,0.10,9.38,4.09,1.26,1.26,5.40,2.78,2.51,9.48,6.71,0.89,1.00,3.20,0.00,0.00,0.00,0.00,0.94,54.5%,1.73,21.3,2.20,4.14,17.50,3.35,7.91,4.14,17.18,20.95,24.83,58.04,32.22,65.0%,65.6%,0.89,0.05,0.08,0.00,0.02,0.26,0.47,0.10,22.2%,41.0%,56.9%,50.0%,4.35
115,4gepi2kie9mwuspoqcez7v6c5,132307,D. Sundgren,Daniel Sundgren,Right Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,224856,Daniel,Sundgren,Right Back,23,1706,33,54.0%,3.32,1.58,0.05,0.69,3.59,1.27,2.11,0.0%,20.8%,1.21,20.15,0.05,77.6%,83.4%,9.7%,4.27,2,right,0.01,0.00,0.00,1.06,Right Back,0.00,0.00,0.00,0.00,0.37,0.84,1.53,0.00,0.26,0.26,0.90,3.43,5.01,5.80,14.24,1.00,0.74,0.63,0.74,32.13,3.85,1.00,0.95,4.75,2.32,1.95,8.60,6.28,1.00,0.26,1.27,0.00,0.00,0.00,0.05,0.79,53.6%,1.48,17.4,11.71,10.81,38.67,14.45,6.86,10.92,19.89,53.65,47.32,82.88,62.57,85.8%,81.6%,1.00,0.00,0.11,0.00,0.01,0.32,0.32,0.05,16.7%,39.0%,55.2%,48.6%,7.39
116,f1jk2tqumutelh2ym21v5beuh,236408,J. Duin,Jelle Duin,Centre Forward,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,233652,Jelle,Duin,Centre Forward,25,1705,25,64.3%,0.74,0.21,0.00,0.63,1.53,0.63,0.37,25.0%,25.0%,0.42,11.24,0.00,52.4%,60.1%,3.4%,0.26,9,left,0.37,0.42,0.00,1.95,Centre Forward,0.21,0.00,0.00,0.00,0.11,0.05,0.42,0.00,0.16,0.37,1.00,0.58,4.65,5.44,10.66,0.58,3.17,0.11,0.11,7.07,7.18,3.80,2.90,4.59,8.60,6.70,11.77,3.17,0.58,0.11,0.42,0.00,0.00,0.00,0.00,0.32,46.2%,0.69,12.6,3.75,5.65,11.82,6.18,0.84,0.84,3.11,10.77,14.46,27.71,17.16,62.8%,61.2%,0.58,0.00,0.04,0.32,0.37,1.27,1.69,0.90,53.1%,28.6%,39.0%,43.3%,2.48
