Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Duel%D3,DuelsD3,SeqShotStart,SeqGoalStart,RcvryA3,RcvryM3,Clrnce,Tckl,Shoot%,CrsPs%,CrossOpen,TchsA3,ThrghBalls,Ps%Att3rd,Pass%OpHf,LongBall%,LgBallCp,ShirtNumber,PrefFoot,xG,Offsides,ErrShot,FoulCom,Position,BgChncGoal,Cleared,RedsResc,Red,Yellow,Int,PsCmpInBox,GoalOBx,ShtOBox,OFF,FoulSuf,PsLostD3,PsLostA3,PsLostM3,PossLost,KeyPass,TouchOpBox,PsCmpSoP,PsSoP,PsOpHfScs,DuelLs,AerialLoss,AerialWon,SucflDuels,DuelsOff,Aerials,Duels,DuelsDef,ChancesCreatedPer90,CrossCmp,Crosses,ShtAf1v1,xAAf1v1,Sc1v1InBox,1v1InBox,Success1v1,1v1%,1v1,PsDist,PsCmpA3,PsRecA3,PsOppHalf,PsInA3rd,PsIntoOpHf,ProgPass,FwdPass,PsCmp,PsRec,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
11,5whynqf5opfxdhlhfdtydrgq2,847263,M. Abu Nil,Muhammad Abu Nil,Goalkeeper,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512446,Muhammad,Abu Nil,Goalkeeper,30,2686,23,78.3%,0.77,0.27,0.03,0.00,0.00,0.64,0.03,-,-,0.00,0.00,0.00,15.6%,-,52.8%,6.27,22,,0.00,0.00,0.00,0.03,Goalkeeper,0.00,0.30,0.00,0.03,0.13,0.00,0.00,0.00,0.00,0.00,0.13,12.30,0.00,0.13,12.43,0.00,0.00,0.07,0.10,2.85,0.17,0.13,0.44,0.60,0.00,0.57,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,33.9,0.00,0.00,11.79,0.00,11.79,0.00,19.84,22.35,20.87,44.87,34.41,64.9%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,100.0%,78.3%,76.5%,1.78
12,8twaof4z06di37p9907vqnxt5,329898,Y. Shua,Yarden Shua,Left Attacking Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,235675,Yarden,Shua,Left Attacking Midfielder,32,2674,25,54.3%,1.18,2.05,0.20,0.88,1.72,0.84,0.64,26.1%,29.6%,2.42,29.65,0.98,54.5%,62.0%,15.1%,1.82,7,,0.29,0.13,0.00,0.84,Left Attacking Midfielder,0.24,0.00,0.00,0.00,0.24,0.34,4.07,0.07,0.57,0.77,1.48,1.28,13.40,8.92,23.59,2.49,3.80,0.20,0.30,15.18,5.18,0.30,0.57,4.27,7.24,0.88,9.46,2.22,2.76,1.88,6.36,0.00,0.04,0.20,0.44,1.58,41.2%,3.84,20.4,9.32,14.37,25.51,14.81,3.13,5.79,13.63,20.06,31.60,56.01,31.64,63.4%,63.5%,2.76,0.27,0.33,0.40,0.29,1.55,2.15,0.77,35.9%,28.2%,45.2%,65.4%,4.07
13,9j42rbt74iw70uout0gx8rpat,220395,P. Cornud,Pierre Cornud,Left Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,435246,Pierre,Cornud,Left Back,32,2663,27,66.7%,2.74,1.99,0.17,0.61,2.33,1.32,2.40,7.7%,26.7%,5.91,28.49,0.03,77.8%,84.1%,12.0%,4.22,27,left,0.03,0.27,0.10,0.91,Left Back,0.03,0.00,0.00,0.00,0.37,1.62,3.31,0.00,0.34,0.30,0.61,3.92,9.77,5.00,18.69,1.72,1.25,0.71,0.88,27.34,4.36,1.05,1.05,4.83,3.92,2.10,9.19,5.27,1.83,1.89,7.10,0.07,0.00,0.00,0.03,0.78,34.8%,2.23,18.6,12.23,14.94,33.32,14.60,5.44,7.84,19.64,47.25,50.69,84.25,56.10,84.2%,84.8%,1.83,0.10,0.22,0.03,0.03,0.44,0.51,0.14,26.7%,49.5%,52.6%,50.0%,5.27
14,1doj252anzqdzn5fknqr5i31l,523428,I. Soro,Ismaila Soro,Central Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,440087,Ismaila,Soro,Central Midfielder,31,2657,26,65.5%,2.85,1.02,0.14,0.51,3.83,1.22,2.91,33.3%,42.9%,0.24,7.93,0.10,75.0%,85.5%,8.7%,2.68,16,right,0.01,0.00,0.00,1.39,Central Midfielder,0.00,0.00,0.00,0.00,0.10,2.10,0.37,0.07,0.20,0.03,0.78,2.03,1.49,5.69,9.21,0.44,0.14,0.20,0.20,18.12,4.13,0.47,0.98,5.32,3.15,1.46,9.45,6.30,0.44,0.10,0.24,0.00,0.00,0.00,0.00,0.64,61.3%,1.05,17.4,4.67,3.42,22.19,5.66,5.86,5.28,12.26,40.58,33.70,62.70,46.61,87.1%,84.1%,0.44,0.00,0.04,0.07,0.01,0.20,0.34,0.17,50.0%,42.1%,56.3%,67.4%,7.15
15,9lyt4yjsopx8bgpe0u8pgun6d,189949,Y. Gerafi,Yoav Gerafi,Goalkeeper,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,234928,Yoav,Gerafi,Goalkeeper,30,2655,30,69.2%,0.44,0.47,0.17,0.00,0.03,0.34,0.03,-,-,0.00,0.00,0.00,28.2%,-,46.8%,5.25,1,,0.00,0.00,0.03,0.00,Goalkeeper,0.00,0.20,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.07,8.37,0.00,0.07,8.44,0.00,0.00,0.03,0.03,2.95,0.14,0.03,0.20,0.31,0.00,0.24,0.44,0.44,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,32.5,0.00,0.00,8.78,0.00,8.78,0.00,15.69,19.93,13.76,36.68,28.03,71.1%,-,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-,25.0%,69.2%,85.7%,0.98
16,6fhhm1c5zl8hr65oux0da9vbp,201859,Hélder Lopes,Hélder Lopes,Left Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,124907,Hélder Filipe,Oliveira Lopes,Left Back,30,2644,35,63.8%,3.95,1.23,0.07,0.17,2.04,1.70,1.94,26.9%,18.2%,1.84,14.67,0.10,71.2%,81.1%,10.9%,1.43,22,left,0.22,0.17,0.00,0.92,Left Back,0.24,0.00,0.00,0.03,0.31,1.19,0.92,0.00,0.14,0.51,1.74,5.14,4.94,6.47,16.54,0.61,1.77,0.10,0.17,15.39,4.29,1.33,2.01,6.06,4.08,3.34,10.35,6.26,0.75,0.34,1.87,0.03,0.00,0.00,0.07,0.44,32.5%,1.36,17.5,5.21,7.56,20.80,6.30,6.06,5.99,17.87,31.42,32.88,63.55,39.42,79.7%,85.5%,0.75,0.14,0.04,0.24,0.22,0.89,1.26,0.37,29.7%,47.4%,58.6%,60.2%,5.07
17,dm0e0dzoincmqdaeajm9fzx05,100786,E. Zahavi,Eran Zahavi,Centre Forward,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,56838,Eran,Zahavi,Centre Forward,35,2636,36,50.0%,0.41,0.31,0.00,0.61,0.72,0.24,0.41,20.4%,33.3%,0.10,21.17,0.44,67.5%,72.0%,4.8%,0.75,7,both,0.96,0.27,0.00,0.44,Centre Forward,0.61,0.00,0.00,0.00,0.14,0.03,1.23,0.03,0.65,1.43,0.82,0.17,6.62,2.29,9.08,1.13,4.95,0.14,0.14,12.39,3.89,1.67,0.41,1.88,4.85,2.08,5.77,0.92,1.37,0.03,0.10,0.03,0.00,0.03,0.34,0.24,21.9%,1.09,13.3,8.06,14.92,17.21,11.75,0.65,2.97,5.60,14.68,21.61,31.62,19.94,73.6%,69.0%,1.37,0.24,0.16,0.68,0.96,3.35,4.64,1.91,41.2%,14.8%,32.5%,19.7%,1.57
18,49tqj719qzzeb3d6al9nzfx79,153672,R. Shukrani,Roei Shukrani,Central Midfielder,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,87616,Roei,Shukrani,Central Midfielder,35,2632,33,56.6%,2.84,0.44,0.00,0.31,3.83,0.44,2.26,11.1%,7.9%,1.23,9.27,0.10,61.9%,73.3%,13.3%,3.18,55,,0.02,0.00,0.03,0.75,Central Midfielder,0.00,0.00,0.00,0.00,0.10,1.33,0.65,0.03,0.31,0.24,1.13,2.39,3.90,8.31,14.60,0.58,0.44,0.38,0.55,17.68,4.89,0.38,0.68,5.23,3.93,1.06,10.12,6.19,0.62,0.10,1.30,0.00,0.00,0.00,0.00,1.16,51.5%,2.26,19.3,3.66,4.34,24.65,5.51,6.98,7.22,14.81,30.23,29.17,54.81,39.56,76.4%,67.3%,0.62,0.03,0.05,0.03,0.02,0.31,0.51,0.07,13.3%,30.5%,51.7%,64.5%,7.32
19,c7wta7tm5rfielv4211c253v9,113632,E. Zubas,Emilijus Zubas,Goalkeeper,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,62708,Emilijus,Zubas,Goalkeeper,29,2610,33,81.8%,0.38,0.24,0.07,0.00,0.00,0.59,0.00,-,-,0.00,0.00,0.00,23.1%,-,52.5%,5.59,1,right,0.00,0.00,0.00,0.00,Goalkeeper,0.00,0.31,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.03,8.48,0.00,0.10,8.59,0.00,0.00,0.10,0.10,2.31,0.07,0.03,0.31,0.31,0.00,0.34,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,32.9,0.00,0.00,8.90,0.00,8.90,0.03,15.07,18.00,13.52,37.69,26.45,68.1%,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.0%,81.8%,90.0%,1.24
20,ew74ruh9073colibnzr6qteui,531839,H. Hilo,Hassan Hilo,Left Centre Back,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,463644,Hassan,Hilo,Left Centre Back,31,2608,24,66.2%,2.24,0.38,0.03,0.07,2.66,5.49,1.28,12.5%,25.0%,0.14,1.35,0.00,49.2%,79.2%,19.9%,4.04,17,,0.04,0.00,0.03,0.79,Left Centre Back,0.03,0.00,0.00,0.00,0.41,1.86,0.31,0.00,0.07,0.24,0.41,4.73,0.41,4.66,9.80,0.14,0.52,0.48,0.72,8.77,2.42,1.10,2.62,4.49,1.83,3.73,6.90,5.07,0.14,0.03,0.14,0.00,0.00,0.00,0.00,0.21,50.0%,0.41,22.9,0.38,0.10,14.42,0.59,9.46,4.49,16.43,37.96,30.20,60.81,46.52,81.6%,64.7%,0.14,0.00,0.02,0.03,0.04,0.28,0.35,0.03,10.0%,45.7%,65.0%,70.4%,5.59
