Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
B. El Khannous,18,"Belgium, Morocco",AMF,Belgium 1,2161,0.08,8.87,1.75,0.29,0.54,2.08,6.12,2.92,20.16,16.78,0,0,2.46,0.87,4.83,31,49.06,7.91,3.71,9.16,1.96,1.33,33.19,0.21,1.04,0.25,1.62,0.67,3.87,6.62,2.33,1.83,3.68,0.15,2.79,0.12
A. Abdallah,25,"France, Comoros","LWB, LB",France 2,2116,0.09,8.63,3.28,0.43,1.23,1.11,4.93,2.13,12.76,10.51,0,0,3.87,0.55,4.76,27,36.2,5.15,3.53,7.53,1.79,2.3,26.33,0.04,0.85,0.09,0.38,0.26,2.93,6.51,0.51,0.89,2.35,0.1,0.38,0.02
Guy Aviv,27,Israel,"LB, RB",Liga Leumit,1751,0.11,2.11,1.41,0.38,0.7,0.81,7.05,2.22,17.19,12.9,0,0,2.28,0.33,3.85,25,27.22,4.55,2.49,8.62,1.36,1.68,17.13,0,0.81,0.05,0.38,0.11,2.22,7.16,0.92,0.7,1.62,0.09,0.43,0.02
A. Perleche,28,Peru,"RB, RWB",Peru 1,886,0.2,1.83,1.32,0,0.41,0.3,6.91,0.81,13.21,4.77,0,0,3.15,0.41,2.23,14,16.25,1.83,1.52,3.76,0.51,1.52,10.26,0,0.51,0.2,0.1,1.02,1.12,8.63,0.2,0.91,1.26,0.13,0.17,0.02
J. Durán,31,Peru,"RB, AMF, RW",Peru 1,1226,0.16,3.88,3.49,0.08,1.35,0.55,3.72,3.25,15.61,17.03,0,0,2.14,0.48,6.34,14,44.84,9.74,3.57,10.38,3.01,2.61,35.89,0,1.35,0,1.82,0.24,3.8,4.75,1.19,0.71,1.28,0.1,0.9,0.07
M. Bandarra,27,Portugal,RB,Portugal 2,1094,0.16,4.77,2.96,0.74,1.07,0.82,7.57,2.06,15.3,19.5,0,0,6.33,0.58,8.8,20,39.9,8.8,4.2,11.19,0.49,0.58,25.83,0.08,1.15,0.25,0.99,0.82,2.8,11.76,1.56,0.66,1.9,0.16,0.65,0.05
Juninho,28,Brazil,"LCB, CB",Denmark1,1920,0.09,2.86,0.19,0,0.09,0.33,5.39,0.47,18.19,16.83,1,0.05,5.2,0.14,5.2,25,45.84,4.88,0.7,7.17,0.61,0.14,31.03,0,0.19,0.7,0.89,0.05,0.7,9,0.33,0.98,0.55,0.03,2.24,0.1
C. Mandouki,31,"France, Martinique","DMF, RDMF, RCMF",France 2,1894,0.1,6.99,0.67,0,0.33,0.43,7.08,1.57,16.73,10.79,1,0.05,2.66,0.24,4.28,22,41.63,5.32,1.09,4.94,0.57,0.9,30.03,0,0.29,0.14,0.33,0.19,1.33,7.03,0.62,0.33,1.23,0.06,0.47,0.02
J. Castillo,27,Peru,"LDMF, LCMF, DMF",Peru 1,652,0.28,4.83,0.55,0.28,0.28,0.69,8.83,0.83,18.5,11.6,1,0.14,4.56,0.55,1.79,13,31.61,3.45,0.83,5.38,0.41,0.28,19.6,0,0.97,0,0.69,1.79,0.83,11.32,0.14,1.1,0.7,0.1,0.48,0.07
L. Escalante,31,Colombia,"LW, LAMF",Peru 1,901,0.2,6.89,2.1,0.3,1.3,0.5,3.1,2.9,18.28,7.69,1,0.1,2.3,0.5,3.3,15,27.07,3.3,2.3,5.39,2.5,1.5,21.98,0.1,1.1,0.1,3.1,0.1,3.9,4.5,0.3,2.1,1.62,0.16,2.32,0.23
