Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
M. Braida,26,Argentina,"LWB, LB",Argentina 1,1810,0.1,7.16,4.03,0.35,1.59,1.29,6.86,4.87,22.62,14.22,0,0,4.72,0.45,4.08,18,37.89,4.82,4.52,8.06,1.94,1.69,25.16,0,0.9,0.1,0.75,1.39,4.67,10.54,0.5,1.19,2.03,0.1,0.84,0.04
R. Pérez,33,Colombia,"RCB, CB",Argentina 1,1796,0,2.36,0.15,0,0,0.1,5.41,0.45,11.53,11.02,1,0.05,2.91,0,3.91,18,30.07,3.51,0.35,5.01,0.5,0.4,21.25,0,0,0.45,0.3,0.4,0.3,6.97,0.2,0.35,0,0,1.09,0.05
G. Benavídez,27,Argentina,RB,Argentina 1,1779,0.05,3.79,1.47,0.25,0.56,0.61,6.78,1.21,16.04,16.09,0,0,5.11,0.2,3.69,18,35.72,4.76,2.48,8.95,0.91,2.58,23.47,0,0.46,0.25,0.4,0.35,1.82,9.97,0.66,0.51,0.79,0.04,0.72,0.04
F. Garcés,23,"Argentina, Spain","RCB, LCB",Argentina 1,1772,0,2.18,0.25,0,0.05,0.15,7.67,0.3,15.44,17.88,0,0,5.89,0.05,6.04,18,33.22,4.93,0.71,6.91,0.36,0.61,17.88,0,0.05,0.41,0.41,0.51,0.36,11.28,0.56,0.51,0.15,0.01,1.53,0.08
S. Longo,25,Argentina,"RCMF, DMF, RDMF",Argentina 1,1764,0,2.96,0.36,0,0.15,0.31,8.83,0.51,16.43,12.91,0,0,5.05,0.26,4.85,18,34.23,5.56,0.71,6.07,0.61,0.15,18.42,0,0.31,0.15,0.46,1.38,0.56,11.73,0.36,0.15,0.41,0.02,0.21,0.01
J. Rodríguez,27,Argentina,"DMF, CB, RCMF",Argentina 1,1759,0.05,3.84,0.26,0.05,0.05,0.41,6.24,0.82,15.25,21.13,1,0.05,6.55,0.1,6.34,18,48.91,9.98,1.64,11.41,0.97,0.51,29.73,0.05,0.46,0.26,0.41,0.56,0.67,10.69,0.82,0.31,0.78,0.04,0.46,0.02
I. Tapia,24,"Argentina, Italy","LCMF, RCMF",Argentina 1,1735,0.1,6.33,1.09,0.16,0.36,0.52,4.93,0.57,12.81,15.35,4,0.21,2.44,0.16,3.89,18,39.37,6.22,1.66,6.9,0.1,0.67,29,0.05,1.45,0.05,1.61,0.78,1.45,6.12,0.36,0.52,3.22,0.17,3.64,0.19
F. Mallo,28,Uruguay,"RCB, CB, LCB",Argentina 1,1707,0.05,1.63,0.05,0,0,0.11,5.06,0.37,12.28,13.13,1,0.05,4.85,0,6.54,17,29.47,4.11,0.74,7.01,0.47,0.11,15.98,0,0.05,0.53,0.42,0.32,0.26,9.02,0.47,0.58,0.03,0,1.21,0.06
P. Vegetti,34,Argentina,CF,Argentina 1,1701,0.05,4.18,1.27,0.11,0.16,0.48,3.17,1.9,29.31,2.86,10,0.53,1.64,0.16,0.69,18,14.71,1.01,0.85,1.11,0.58,2.8,8.41,0,0.58,0.32,2.59,0,2.49,3.28,0.16,3.49,1.12,0.06,9.38,0.5
J. Elías,27,"Argentina, Italy","RCMF, RB, LCMF",Argentina 1,1695,0.05,6.42,1.06,0.16,0.32,0.48,5.95,0.69,12.32,14.76,2,0.11,4.41,0.05,6.32,18,44.23,7.86,1.81,6.48,0.53,0.64,30.85,0.05,0.37,0.37,0.53,0.32,1.17,8.44,0.69,0.37,0.55,0.03,0.34,0.02
F. Alarcón,28,Argentina,"LCB, RCB",Argentina 1,1693,0.05,1.28,0,0,0,0.32,6.43,0.48,18.18,16.85,0,0,4.73,0,5.85,17,31.31,5.48,0.32,9.89,0.69,0.27,17.12,0,0.16,0.27,0.43,1.06,0.37,11,0.16,0.69,0.09,0,1.46,0.08
S. Ascacíbar,26,Argentina,"RCMF, LCMF",Argentina 1,1687,0.05,5.76,0.59,0.05,0.16,0.69,9.07,0.8,19.26,14.46,3,0.16,4.53,0.16,3.41,18,43.37,6.72,1.49,5.92,0.32,0.75,31.37,0.16,0.43,0.16,1.44,1.49,0.96,11.47,0.59,0.91,0.87,0.05,1.57,0.08
F. Rasmussen,31,Argentina,LCB,Argentina 1,1683,0,1.44,0,0,0,0.05,7.54,0.53,18.77,14.12,0,0,6.58,0,3.96,17,34.22,2.51,0.16,5.88,0.48,0.27,19.3,0,0.05,0.37,0.05,0.43,0.27,12.09,0.27,0.27,0.01,0,0.15,0.01
F. Sánchez,19,Argentina,LCB,Argentina 1,1681,0,2.14,0,0,0,0.27,5.14,0.11,15.69,14.3,0,0,5.46,0.11,7.5,17,26.29,4.71,0.27,7.17,0.11,0.16,12.1,0,0.16,0.8,0.21,0.27,0.11,9.69,0.32,0.48,0.09,0,0.67,0.04
B. Bianchi,34,"Argentina, Italy","RCB, CB",Argentina 1,1678,0,1.88,0,0,0,0.16,3.65,0.38,10.24,16.9,0,0,6.17,0.11,8.96,17,35.4,5.2,0.54,8.85,0.05,0.27,19.36,0,0.11,0.59,0.16,0.64,0.21,8.96,0.59,0.32,0.07,0,0.6,0.03
M. Catalán,30,"Argentina, Chile",RCB,Argentina 1,1676,0.11,1.99,0.54,0,0.32,0.16,5.37,0.91,14.71,20.62,1,0.05,5.21,0.38,10.63,17,40.7,7.46,1.18,12.08,0.91,0.48,23.36,0,0.38,0.21,0.38,0.11,0.86,8.97,0.59,0.54,1.42,0.08,1.06,0.06
F. Pereyra,33,Argentina,"RCB, CB",Argentina 1,1676,0,1.13,0.05,0,0,0.11,5.48,0.21,16,13.91,0,0,6.01,0,8.59,17,29.21,5.64,0.32,8.43,0.32,0.32,15.95,0,0,1.13,0.54,0.21,0.32,10.26,0.11,0.81,0,0,0.93,0.05
R. Villagra,22,Argentina,"LCMF, LDMF",Argentina 1,1669,0,6.2,0.16,0,0.05,0.59,8.41,1.46,18.01,11.32,0,0,2.97,0.22,6.47,18,40.44,5.82,1.02,5.72,0.7,0.22,25.02,0,0.43,0.22,0.54,0.32,1.19,8.3,0.75,0.32,0.35,0.02,0.51,0.03
G. Lódico,25,Argentina,"LCMF, LW",Argentina 1,1661,0,7.8,2.22,0.33,0.6,1.19,5.96,3.85,17.01,16.47,1,0.05,4.71,0.22,3.79,18,52.29,7.8,3.36,8.83,2.22,0.43,33.81,0,1.35,0.16,1.3,0.76,3.41,9.05,0.7,1.08,1.69,0.09,2.25,0.12
S. Pierotti,22,Argentina,"CF, RW",Argentina 1,1660,0,4.39,1.95,0.22,0.54,0.76,8.24,6.45,34.64,3.74,2,0.11,2.71,0.27,0.65,18,18.92,2.01,1.95,2.82,1.79,1.79,12.58,0.05,0.54,0.05,1.46,0.38,3.8,7.48,0.33,2.82,0.91,0.05,3.08,0.17
J. Pereyra,24,Argentina,"LCMF, LW",Argentina 1,1654,0.11,6.2,2.01,0.16,0.33,1.14,8.05,5.22,24.92,15.51,1,0.05,3.81,0.44,7.29,17,43.59,10.34,3.7,8.65,2.45,1.03,29.6,0.05,1.52,0.16,1.9,0.33,4.52,8.98,2.18,0.54,2.35,0.13,0.97,0.05
K. Mac Allister,25,"Argentina, Italy","RCB, RB",Argentina 1,1613,0,5.19,0.95,0.17,0.28,0.45,8.37,0.61,19.92,22.21,4,0.22,6.42,0,7.42,17,49.88,9.43,1.67,12.44,0.78,1.9,35.99,0,0.22,0.33,1.06,0.84,1.28,12.55,0.78,1.73,0.16,0.01,2.43,0.14
F. Gattoni,24,"Argentina, Italy","CB, RCB",Argentina 1,1605,0.06,0.9,0,0,0,0.17,4.82,0.28,12.28,11.83,1,0.06,3.53,0.11,3.08,16,35.21,2.3,0.06,4.93,0.56,0.39,23.83,0,0.11,0.22,0.62,0.28,0.28,7.46,0.06,1.01,0.31,0.02,2.02,0.11
A. Martínez,30,Argentina,CF,Argentina 1,1601,0.06,4.72,0.56,0.11,0.22,0.84,4.55,1.01,25.97,3.2,5,0.28,1.57,0.34,0.84,17,20.18,1.74,0.62,1.52,0.51,1.63,12.99,0.06,0.84,0.11,1.8,0.22,1.35,4.38,0.28,4.38,0.69,0.04,6.26,0.35
L. Villalba,28,Argentina,LCB,Argentina 1,1599,0.06,4.73,1.01,0,0.56,1.01,5.97,1.18,18.63,31.13,0,0,4.67,0.23,17,16,62.7,13.17,2.31,17.84,1.63,0.56,41.93,0,0.39,0.11,0.56,0.68,1.46,9.68,1.69,0.56,1.04,0.06,0.39,0.02
G. Abrego,23,Argentina,"LDMF, LCMF, RCMF",Argentina 1,1596,0.06,5.02,0.73,0,0.23,0.34,6.82,2.65,23.4,10.83,3,0.17,3.38,0.17,3.1,18,33.27,6.03,1.58,5.24,1.02,0.45,20.47,0,0.45,0.17,1.13,0.06,2.09,7.56,0.68,0.9,0.49,0.03,2.28,0.13
A. Rodríguez,22,Paraguay,"LB, LWB",Argentina 1,1593,0.17,3.39,2.82,0.34,1.07,0.45,6.16,1.24,12.03,13.73,1,0.06,5.88,0.28,6.05,17,32.6,5.2,2.49,8.98,0.85,2.43,21.75,0,0.56,0.28,0.73,0.51,1.69,9.94,0.4,0.34,1.58,0.09,0.41,0.02
T. Belmonte,25,"Argentina, Italy","DMF, RCMF",Argentina 1,1591,0,3.45,0.28,0.06,0.11,0.11,5.71,0.45,15.84,9.22,1,0.06,7.18,0,3.11,16,33.71,3.22,0.4,4.07,0.11,0.06,18.89,0.11,0.11,0.34,0.51,0.62,0.51,11.09,0.34,0.96,0.2,0.01,1.64,0.09
B. Guzmán,23,Argentina,"LW, LAMF, RW",Argentina 1,1586,0.17,5.05,4.31,0.51,1.53,0.34,4.65,5.5,21.39,6.7,2,0.11,2.33,0.57,2.44,18,26.44,2.89,3.86,4.65,2.21,1.36,16.97,0,0.96,0.11,1.65,0.57,5.56,5.45,0.45,1.02,2.61,0.15,2.8,0.16
F. Fattori,30,Argentina,"LCMF, LDMF",Argentina 1,1584,0,5.85,0.51,0.06,0.17,0.45,6.25,0.74,14.72,16.65,0,0,7.44,0.11,6.93,17,53.75,9.26,1.19,9.49,0.85,0.17,33.81,0,0.23,0.23,0.28,0.63,0.74,12.61,0.34,0.11,0.11,0.01,0.04,0
W. Ditta,25,Colombia,"LCB, RCB, CB",Argentina 1,1581,0,3.93,0.11,0,0,0.06,5.92,0.8,15.54,18.67,0,0,4.33,0.06,6.26,17,56.41,5.92,0.8,7.97,2.22,0.11,37.17,0,0.06,0.63,0.11,0.17,0.4,8.82,0.68,0.06,0.16,0.01,0.16,0.01
F. Álvarez,23,Argentina,"LCB, CB, RCB",Argentina 1,1579,0,1.94,0,0,0,0.11,5.87,0.68,18.3,13.96,2,0.11,4.79,0,5.19,17,32.83,3.59,0.74,5.36,0.8,0.11,16.87,0.06,0.11,0.23,0.91,0.23,0.57,9.23,0.46,0.91,0.38,0.02,1.23,0.07
A. Soto,29,Argentina,LB,Argentina 1,1579,0.06,4.9,1.08,0.06,0.23,0.23,7.35,1.31,16.81,14.36,0,0,4.62,0.17,6.73,17,33.97,4.9,2.05,8.72,0.68,2.11,22.57,0,0.4,0.17,0.17,0.97,0.85,9.86,0.8,0.23,0.51,0.03,0.03,0
Z. Romero,23,Argentina,LCB,Argentina 1,1577,0,1.77,0.34,0,0.11,0.29,6.45,1.03,17.92,21.23,1,0.06,5.82,0,7.48,16,42,6.39,1.08,9.3,1.26,0.51,25.28,0,0.11,0.46,0.34,0.17,0.97,10.62,0.29,0.51,0.14,0.01,0.64,0.04
G. Canto,29,Argentina,"LCB, LB",Argentina 1,1572,0,2.4,1.09,0.06,0.23,0.17,8.3,1.37,19.58,16.72,0,0,6.41,0.06,5.78,16,31.03,4.69,1.32,8.19,0.8,0.92,15.8,0.06,0.17,0.74,0.52,0.52,1.26,12.65,0.23,1.37,0.27,0.02,0.84,0.05
L. Arce,25,Argentina,RB,Argentina 1,1569,0.06,4.7,2.93,0.29,1.2,0.69,9.18,1.55,17.32,14.97,0,0,4.7,0.29,3.21,18,36.14,5.05,3.1,9.75,1.61,2.35,21.74,0,1.09,0.06,0.23,0.34,2.41,11.07,0.17,0.63,2.02,0.12,0.22,0.01
B. Sepúlveda,30,Argentina,CF,Argentina 1,1567,0,5.74,0.75,0.17,0.11,0.63,2.87,2.58,25.67,3.79,5,0.29,1.61,0.29,0.23,17,18.61,1.32,1.15,1.44,0.98,2.93,11.77,0,0.46,0.34,1.49,0.23,1.72,3.16,0.23,2.58,0.66,0.04,4.3,0.25
C. Quintana,35,"Argentina, Spain",LCB,Argentina 1,1567,0,0.98,0,0,0,0,7.41,0.17,17.98,13.44,2,0.11,5.4,0,4.82,17,25.67,3.04,0.11,5.92,0.46,0.23,14.36,0,0,0.63,0.4,0.75,0.29,11.37,0.29,0.46,0,0,1.29,0.07
I. Gómez,26,Argentina,"RCMF, DMF",Argentina 1,1566,0.06,7.76,0.69,0.23,0.34,0.4,8.85,2.64,21.21,9.02,0,0,3.97,0.23,2.24,17,34.83,4.25,1.09,4.54,0.8,0.23,23.62,0.06,0.46,0.17,0.8,1.67,2.59,10.98,0.52,0.98,0.79,0.05,1.85,0.11
G. Hernández,25,"Argentina, Spain",LCB,Argentina 1,1564,0,1.96,0.17,0.06,0.12,0.17,6.91,0.69,15.36,19.51,1,0.06,3.57,0.06,3.68,16,36.89,7.08,0.4,8.52,1.44,0.52,25.43,0,0,0.35,0.52,1.09,0.63,9.67,0.29,0.69,0,0,1.07,0.06
N. Figal,29,Argentina,"LCB, CB",Argentina 1,1557,0,1.85,0.17,0,0,0.23,6.88,1.27,16.88,16.59,3,0.17,4.34,0,6.94,17,42.37,4.45,0.75,7.34,1.5,0.75,28.67,0,0.06,0.75,0.64,0.92,0.98,9.42,0.52,0.69,0.15,0.01,1.45,0.08
D. Martínez,33,Argentina,"RB, RWB",Argentina 1,1553,0,3.48,2.14,0.23,0.64,0.17,7.77,2.09,17.44,9.27,2,0.12,3.71,0.12,3.13,16,22.72,3.48,1.74,5.51,0.93,1.1,14.95,0,0.29,0.46,0.81,0.23,2.32,8.46,0.46,1.33,0.83,0.05,1.49,0.09
S. Hezze,21,Argentina,"RCMF, RDMF",Argentina 1,1550,0,4.76,0.99,0,0.35,0.64,6.85,0.99,18.12,15.62,2,0.12,6.45,0.06,5.57,18,41.17,7.61,1.57,7.9,1.22,0.7,26.54,0,0.35,0.23,0.99,1.22,0.93,11.96,0.58,1.1,0.53,0.03,1.61,0.09
P. Goltz,38,Argentina,"CB, LCB",Argentina 1,1548,0,1.28,0,0,0,0.12,5.64,0.29,14.65,13.78,0,0,5.29,0,5.87,16,32.56,3.08,0.41,6.28,0.17,0.23,16.34,0,0.06,0.47,0.41,0.23,0.29,9.3,0.29,0.76,0.09,0.01,0.46,0.03
M. Orihuela,31,Argentina,"LB, LWB",Argentina 1,1545,0,4.19,2.85,0.29,1.17,0.35,7.46,2.97,17.18,11.07,0,0,4.49,0.41,3.44,17,30.06,3.79,2.62,6.99,1.22,2.74,20.97,0.06,0.87,0.29,0.99,0.23,2.91,8.91,0.29,1.81,1.2,0.07,1.34,0.08
F. Ortega,24,Argentina,LB,Argentina 1,1543,0,6.18,1.81,0.23,0.58,0.12,7.93,4.26,24.38,12.95,1,0.06,4.55,0.06,2.92,16,35.06,3.79,1.57,6.82,2.1,1.05,20.59,0,0.52,0.06,0.29,0,3.27,9.97,0.35,0.29,0.76,0.04,0.19,0.01
U. Sánchez,24,Argentina,"RW, RAMF",Argentina 1,1530,0.06,2.94,2.18,0.35,1.06,0.35,5.88,4.06,20.65,8.41,2,0.12,3.29,0.41,5,18,24.53,4.65,2.59,5.82,1.53,0.94,15.06,0.18,1,0.12,1.47,0.76,3.35,7.76,1,1.41,1.31,0.08,2.33,0.14
N. Fernández,27,Argentina,CF,Argentina 1,1526,0.06,5.84,0.53,0.06,0,1.24,3.24,3.18,18.28,3.6,8,0.47,2.24,0.47,1.24,18,18.52,1.71,1.36,1.71,0.83,1.89,11.91,0.06,0.94,0.18,3.3,0.06,3.54,4.31,0.35,3.83,2.22,0.13,9.37,0.55
J. Sforza,21,"Argentina, Italy",DMF,Argentina 1,1521,0.06,6.45,0.06,0,0,0.18,7.93,0.71,18.05,14.97,1,0.06,4.85,0.12,5.21,16,50.06,8.76,0.83,6.92,0.36,0,33.67,0.06,0.24,0.3,0.36,0.71,0.47,11.48,0.77,0.18,0.19,0.01,1.01,0.06
N. Fernández,25,Uruguay,"LAMF, RAMF, LCMF",Argentina 1,1521,0,5.92,1.24,0.12,0.36,0.65,8.64,4.32,28.76,9.76,1,0.06,3.14,0.12,2.9,18,31.24,4.56,1.66,5.33,1.66,0.71,19.7,0.12,0.95,0.06,0.89,0.59,1.89,8.99,0.71,1.54,1.79,0.11,1.17,0.07
M. Casco,35,Argentina,"RB, LB",Argentina 1,1520,0.18,7.82,2.55,0.3,1.54,0.83,6.04,1.36,14.33,19.07,0,0,4.32,0.71,6.75,17,51.93,8.35,3.79,13.14,0.89,2.72,37.66,0,1.07,0.24,0.36,0.3,2.43,8.64,1.13,1.13,2.04,0.12,0.58,0.03
I. Malcorra,35,Argentina,"AMF, LW, CF",Argentina 1,1518,0.3,3.79,2.43,0.36,1.07,0.71,3.68,3.97,16.01,7.77,4,0.24,0.89,0.65,2.49,17,24.84,3.5,2.85,4.92,1.54,0.95,17.37,0.12,2.08,0,1.54,0.12,3.56,3.02,0.53,2.08,5.41,0.32,3.27,0.19
F. Colidio,23,"Argentina, Italy","AMF, CF",Argentina 1,1513,0.06,5,1.13,0,0.42,1.67,4.22,5.95,25.46,8.45,2,0.12,1.49,0.71,1.37,18,26.95,4.1,2.56,4.52,2.62,1.84,20.4,0,1.19,0,2.2,0.18,3.75,4.34,1.19,2.62,2.48,0.15,4.38,0.26
E. Méndez,34,Argentina,"RCMF, DMF",Argentina 1,1509,0,2.15,0.3,0,0.06,0.12,10.97,1.49,24.39,11.57,0,0,5.73,0.06,3.94,17,25.29,4.53,0.54,5.84,0.66,0,10.8,0.06,0.24,0.48,0.48,0.36,0.89,12.52,0.18,0.78,0.06,0,0.4,0.02
M. Pittón,28,Argentina,"LCMF, DMF, RCMF",Argentina 1,1508,0.06,4.12,0.54,0.06,0.18,0.24,9.73,1.85,21.37,11.4,0,0,6.86,0.18,4.24,16,33.9,4.95,1.37,5.43,0.66,0.48,16.35,0,0.6,0.78,0.66,1.49,1.61,13.85,0.36,0.36,0.81,0.05,0.55,0.03
A. Spörle,27,"Argentina, Germany",LB,Argentina 1,1508,0,5.01,3.1,0.42,0.78,0.42,9.43,3.1,22.2,15.76,1,0.06,4.3,0.18,4.24,17,34.08,3.64,2.63,8.77,2.15,1.31,18.56,0.12,0.24,0.12,0.54,0.12,2.63,10.92,0.24,0.95,0.43,0.03,0.57,0.03
A. Costa,23,Uruguay,"LB, LCB",Argentina 1,1508,0.06,2.51,2.69,0.18,0.84,0.54,8.65,2.57,23.51,13.61,0,0,4.83,0.36,4.06,15,27.99,4.66,2.21,7.16,1.37,0.9,16.83,0,0.84,0.18,0.6,0.95,2.75,11.64,0.48,1.13,1.42,0.08,0.61,0.04
M. Santos,30,Uruguay,CF,Argentina 1,1506,0.24,2.51,0.96,0.12,0.24,0.54,2.21,1.79,14.52,2.21,10,0.6,1.08,0.36,0.42,18,10.22,1.02,1.14,0.96,0.6,2.09,9.26,0.12,0.36,0,2.75,0,3.05,2.09,0.42,4.06,2.28,0.14,8.85,0.53
L. Morales,32,Argentina,RCB,Argentina 1,1502,0,1.56,0.12,0.06,0,0.12,5.57,0.48,14.8,16.9,1,0.06,6.59,0,5.45,15,29,3.89,0.24,8.39,0.3,0.06,10.67,0,0,0.54,0.36,0.36,0.48,10.97,0.06,0.54,0,0,0.75,0.04
P. Barrios,32,Argentina,RCB,Argentina 1,1496,0,1.5,0.54,0.06,0.3,0.3,7.7,0.66,16.42,17.45,0,0,3.73,0.3,6.68,16,36.64,5.84,0.96,8.3,0.54,0.54,22.68,0.06,0.42,0.48,0.3,0.18,0.84,9.81,0.54,0.48,0.85,0.05,0.29,0.02
L. Mosevich,26,Argentina,RCB,Argentina 1,1495,0,2.23,0,0,0,0.24,6.68,0.24,17.46,13.73,0,0,3.67,0.12,5.06,16,29.32,4.7,0.3,6.26,0.48,0.18,16.68,0,0.12,0.42,0.24,1.38,0.12,9.39,0.12,0.42,0.04,0,0.27,0.02
M. Cauteruccio,36,"Uruguay, Italy",CF,Argentina 1,1490,0.06,3.93,0.36,0.06,0.18,0.72,1.69,1.57,17.76,3.2,10,0.6,1.69,0.36,0.18,18,13.29,1.21,0.91,1.27,0.48,1.45,7.79,0,0.6,0.24,1.93,0,1.99,2.54,0.06,3.5,1.09,0.07,9.66,0.58
K. Ortíz,22,Argentina,"LCMF, RCMF, LDMF",Argentina 1,1480,0,3.22,0.18,0.06,0.12,0.12,12.1,1.4,23.41,10.03,0,0,7.24,0,3.59,16,28.76,4.8,0.85,5.11,0.49,0.06,14.9,0.12,0.12,0.49,0.49,1.09,0.79,16.24,0.49,0,0.05,0,0.22,0.01
J. Insaurralde,38,Argentina,"LCB, CB",Argentina 1,1479,0,1.22,0,0,0,0.24,3.65,0.24,11.2,8.7,0,0,3.89,0.06,4.2,15,16.98,2.49,0.24,4.62,0.3,0,7,0,0.06,0.55,0.37,0.3,0.18,6.94,0.24,0.55,0.5,0.03,0.83,0.05
R. Garro,25,"Argentina, Italy","AMF, CF",Argentina 1,1479,0.24,5.9,1.16,0.06,0.3,2.01,4.5,3.16,23,14.24,4,0.24,2.07,0.67,5.84,18,39.74,7.79,4.32,8.7,1.4,2.49,28.66,0.12,2.01,0,2.19,0.18,3.29,4.62,2.92,1.28,3.33,0.2,1.97,0.12
E. Díaz,27,Argentina,"LB, LCB",Argentina 1,1478,0.06,5.42,2.07,0.24,0.97,0.61,7.37,2.07,20.95,14.74,0,0,4.14,0.43,4.08,15,44.15,5.18,2.19,9.56,1.58,1.95,29.78,0,0.55,0.12,0.61,0.79,2.37,9.93,0.24,1.34,0.73,0.04,0.99,0.06
L. Gondou,21,Argentina,"CF, RWF",Argentina 1,1477,0.12,4.33,1.1,0.12,0.3,0.3,4.45,3.9,30.47,3.84,6,0.37,2.19,0.37,0.55,18,17,1.95,1.16,2.25,1.28,2.13,10.24,0.06,0.97,0.12,2.32,0.24,3.47,5.06,0.3,2.86,1.35,0.08,6.36,0.39
B. Rollheiser,23,"Argentina, Paraguay","CF, AMF, RW",Argentina 1,1472,0.12,7.76,1.83,0.24,0.92,1.9,6.73,4.4,22.56,10.88,2,0.12,2.38,0.43,3.61,18,43.78,6.11,4.52,6.54,2.69,1.41,32.1,0.06,1.65,0.06,3.12,0.12,5.14,6.79,2.02,1.9,2.63,0.16,3.48,0.21
A. Luciatti,30,Argentina,LCB,Argentina 1,1468,0.06,1.84,0.12,0,0.06,0.06,6.81,0.37,17.35,15.63,1,0.06,5.09,0,4.17,16,36.91,2.88,0.18,7.11,0.92,0.31,23.24,0,0.18,0.43,0.55,0.55,0.61,10.97,0.06,0.67,0.2,0.01,0.93,0.06
F. Peña Biafore,22,Argentina,"DMF, LCMF, LDMF",Argentina 1,1466,0,3.62,0,0,0,0.18,6.81,1.29,14.67,14.86,0,0,6.94,0.06,5.22,18,37.57,6.08,0.98,6.08,1.23,0.12,20.93,0,0.18,0.37,0.31,0.12,0.98,11.3,0.25,0.18,0.13,0.01,0.11,0.01
M. Melluso,24,Argentina,LB,Argentina 1,1461,0,3.39,2.03,0.12,1.11,0.86,10.16,1.42,21.68,14.17,0,0,5.54,0.55,5.79,15,29.88,6.47,3.14,8.87,1.42,0.92,15.15,0,1.11,0.37,0.43,2.65,1.97,15.15,0.62,0.18,1.46,0.09,0.36,0.02
A. Sant'Anna,25,Uruguay,RB,Argentina 1,1461,0.12,2.96,3.39,0.55,0.86,0.68,9.43,1.36,19.03,13.12,0,0,5.48,0.55,5.17,16,28.83,4.37,3.08,8.13,1.42,3.39,16.88,0,1.05,0.25,0.86,0.62,1.91,11.83,0.49,1.11,2.8,0.17,1.09,0.07
B. Blasi,27,Argentina,"RB, RCB",Argentina 1,1461,0,1.97,1.72,0.12,0.49,0.31,6.78,0.68,13.8,13.98,0,0,5.05,0.12,8.07,16,25.81,7.45,1.72,9.18,0.62,0.99,14.91,0,0.12,0.37,0.25,0.49,0.8,9.18,0.31,0.12,0.11,0.01,0.06,0
L. Lollo,36,"Argentina, Italy","CB, RCB, LCB",Argentina 1,1460,0,1.11,0.12,0,0.12,0.12,4.25,0.12,13.07,16.4,1,0.06,6.04,0,6.1,15,36.43,4.68,0.37,8.69,0.18,0.31,24.23,0,0,0.62,0.43,0.31,0.31,9.18,0.37,0.68,0,0,1.1,0.07
D. Barbona,28,Argentina,"AMF, RAMF, LCMF",Argentina 1,1458,0.25,5.37,1.98,0.25,0.99,1.17,3.95,3.21,15.56,9.63,2,0.12,2.47,0.74,2.96,18,30.49,4.63,2.9,6.91,2.1,1.48,20.62,0,1.79,0.06,1.17,0.12,3.27,5.12,1.17,0.93,2.61,0.16,1.46,0.09
L. Advíncula,33,Peru,"RB, RWF",Argentina 1,1457,0.19,7.1,2.59,0.25,0.99,0.43,5.62,3.09,17.73,12.66,0,0,3.03,0.56,3.95,16,38.98,4.88,2.22,8.09,1.54,2.04,27.74,0.06,0.99,0.31,0.49,0.68,3.03,7.66,0.37,1.17,2.29,0.14,0.43,0.03
T. Cardona,27,Argentina,LCB,Argentina 1,1454,0,1.92,0.06,0,0.06,0,5.2,0.37,14.24,19.25,2,0.12,4.7,0,9.47,16,43.45,7.43,0.68,9.72,1.49,0.31,28.04,0.06,0,0.68,0.43,0.31,0.43,8.85,0.56,0.56,0,0,1.15,0.07
C. Corvalán,34,Argentina,"LCB, LB",Argentina 1,1443,0.06,1.56,0.94,0,0.31,0,4.86,0.25,11.41,19.65,0,0,5.55,0.19,7.73,15,37.3,4.74,0.75,9.29,0.5,0.87,23.33,0,0.31,0.31,0.44,1.43,0.62,10.17,0.12,0.56,0.93,0.06,0.53,0.03
N. Morgantini,28,Argentina,RB,Argentina 1,1440,0.06,2.88,2.63,0.25,0.56,0.38,8.25,1.75,15.88,11.5,1,0.06,5.06,0.25,4.44,15,23.81,4.06,2.25,6.06,0.63,0.5,11.88,0,0.69,0.44,0.44,0.31,1.62,10.38,0.25,1.06,1,0.06,0.34,0.02
I. Fernández,33,Argentina,"AMF, RCMF",Argentina 1,1435,0.06,9.97,1.57,0.06,0.56,2.89,5.21,2.63,18.19,16.87,4,0.25,2.76,0.88,2.63,17,51.93,8.72,4.39,8.91,1.07,1.76,39.64,0.19,2.13,0.19,2.01,0.56,3.45,6.46,1.82,3.2,3.2,0.2,3.7,0.23
V. Taborda,21,"Argentina, Italy","AMF, CF",Argentina 1,1424,0.06,4.93,0.95,0.06,0,1.01,4.93,6.76,28.5,10.43,2,0.13,2.02,0.32,1.45,18,30.08,4.36,2.02,4.11,2.59,0.82,19.09,0.13,1.45,0,1.58,0.63,3.92,5.5,0.7,1.01,2.25,0.14,1.62,0.1
