Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Duel%D3,DuelsD3,SeqShotStart,SeqGoalStart,RcvryA3,RcvryM3,Clrnce,Tckl,Shoot%,CrsPs%,CrossOpen,TchsA3,ThrghBalls,Ps%Att3rd,Pass%OpHf,LongBall%,LgBallCp,ShirtNumber,PrefFoot,xG,Offsides,ErrShot,FoulCom,Position,BgChncGoal,Cleared,RedsResc,Red,Yellow,Int,PsCmpInBox,GoalOBx,ShtOBox,OFF,FoulSuf,PsLostD3,PsLostA3,PsLostM3,PossLost,KeyPass,TouchOpBox,PsCmpSoP,PsSoP,PsOpHfScs,DuelLs,AerialLoss,AerialWon,SucflDuels,DuelsOff,Aerials,Duels,DuelsDef,ChancesCreatedPer90,CrossCmp,Crosses,ShtAf1v1,xAAf1v1,Sc1v1InBox,1v1InBox,Success1v1,1v1%,1v1,PsDist,PsCmpA3,PsRecA3,PsOppHalf,PsInA3rd,PsIntoOpHf,ProgPass,FwdPass,PsCmp,PsRec,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
11,6fhhm1c5zl8hr65oux0da9vbp,201859,Hélder Lopes,Hélder Lopes,Left Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,124907,Hélder Filipe,Oliveira Lopes,Left Back,26,2313,35,66.70%,3.85,1.32,0.08,0.19,2.18,1.56,1.91,25.00%,18.40%,1.87,15.41,0.12,72.50%,82.10%,11.00%,1.6,22,left,0.18,0.16,0,0.86,Left Back,0.19,0,0,0,0.35,1.13,1.01,0,0.16,0.43,1.48,5.1,5.1,6.46,16.65,0.66,1.71,0.12,0.19,16.46,4.2,1.32,1.91,5.64,3.62,3.23,9.84,6.23,0.82,0.35,1.91,0,0,0,0.08,0.39,33.30%,1.17,17.6,5.8,7.94,21.95,6.89,6.3,6.38,18.44,32.8,34.05,64.32,40.7,80.60%,87.10%,0.82,0.16,0.05,0.19,0.18,0.78,1.21,0.35,29.00%,44.90%,57.30%,59.00%,5.06
12,e3yr2tkuonhu7iwqc78kcqmwa,660811,B. Enow,Boris Enow,Central Midfielder,2787,Maccabi Netanya,M Netanya,MNT,6j9xcfzg0gp8j84yaoidmspaw,Maccabi Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,465618,Boris,Enow,Central Midfielder,26,2299,24,61.60%,3.37,1.37,0.08,0.43,5.05,1.21,3.05,0.00%,27.30%,0.35,8.89,0.08,66.00%,77.50%,10.70%,2.39,8,,0.03,0,0.04,1.96,Central Midfielder,0,0,0,0,0.39,2.15,0.55,0,0.55,0.35,1.37,3.48,2.58,9.16,15.23,0.63,0.12,0.16,0.2,21.96,5.52,0.9,1.88,7.24,4.89,2.78,12.76,7.87,0.67,0.12,0.43,0.04,0,0,0,0.94,53.30%,1.76,16.9,4.5,3.37,29.71,6.26,8.1,8.03,19.61,40.83,32.96,70.39,52.34,78.00%,73.20%,0.67,0.04,0.04,0,0.03,0.59,0.9,0.23,26.10%,53.80%,56.70%,67.60%,8.18
13,49tqj719qzzeb3d6al9nzfx79,,R. Shukrani,Roei Shukrani,Central Midfielder,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,87616,Roei,Shukrani,Central Midfielder,28,2270,33,61.30%,2.97,0.44,0,0.24,3.89,0.48,2.54,12.50%,10.00%,1.19,8.96,0.08,61.70%,74.00%,13.30%,3.13,55,,0.02,0,0.04,0.75,Central Midfielder,0,0,0,0,0.12,1.27,0.67,0.04,0.32,0.24,1.19,2.38,3.77,8.37,14.51,0.63,0.44,0.36,0.52,17.84,4.92,0.36,0.67,5.43,3.89,1.03,10.35,6.46,0.67,0.12,1.19,0,0,0,0,1.03,47.30%,2.18,19.4,3.57,4.16,24.78,5.35,7.1,7.45,15.11,30.33,29.3,54.83,39.61,76.60%,67.70%,0.67,0.04,0.05,0.04,0.02,0.32,0.48,0.08,16.70%,32.80%,52.50%,65.40%,7.45
14,2ffmtapkhzor2x5a4cybj3w7p,179847,Dor Peretz,Dor Peretz,Central Midfielder,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,212313,Dor,Peretz,Central Midfielder,28,2253,28,56.10%,1.64,1.08,0.16,0.8,2.36,0.32,1.76,13.50%,17.60%,0.68,21.65,0.04,73.90%,80.30%,3.90%,1.04,42,,0.32,0.32,0,1.24,Central Midfielder,0.24,0,0,0,0.12,0.6,1.28,0,0.6,1.04,0.96,1.2,6.35,4.55,12.1,1.24,4.07,0.08,0.12,22.05,5.55,1.72,1.36,4.71,5.91,3.08,10.27,4.35,1.32,0.12,0.68,0,0,0,0.08,0.64,42.10%,1.52,15.6,9.99,13.18,27.88,13.14,3.36,6.11,10.27,31.88,33.6,54.85,39.03,81.70%,76.70%,1.32,0.08,0.1,0.28,0.32,2.08,2.6,1.04,40.00%,46.00%,45.90%,44.20%,4.39
15,dd1gwpduhvds0c6jeese3ynf8,872844,N. Eliasi,Niv Eliasi,Goalkeeper,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,545100,Niv,Eliasi,Goalkeeper,25,2250,22,68.80%,0.64,0.6,0.12,0,0,0.24,0.04,-,-,0,0,0,9.30%,-,43.30%,3.36,55,,0,0,0,0.08,Goalkeeper,0,0,0,0,0.08,0,0,0,0,0,0.12,7.24,0,0,7.24,0,0,0.04,0.12,1.12,0.24,0.12,0.36,0.44,0.04,0.48,0.68,0.64,0,0,0,0,0,0,0,0,-,0,30.4,0,0,5.88,0,5.88,0.04,13.64,16.92,12.76,31.92,24,70.50%,-,0,0,0,0,0,0,0,0,-,50.00%,64.70%,75.00%,1.44
15,5whynqf5opfxdhlhfdtydrgq2,,M. Abu Nil,Muhammad Abu Nil,Goalkeeper,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512446,Muhammad,Abu Nil,Goalkeeper,25,2250,22,80.00%,0.8,0.32,0.04,0,0,0.52,0.04,-,-,0,0,0,16.40%,-,54.30%,6.48,22,,0,0,0,0,Goalkeeper,0,0.24,0,0,0.16,0,0,0,0,0,0.16,12.48,0,0.16,12.64,0,0,0.04,0.08,3.16,0.16,0.16,0.44,0.64,0,0.6,0.8,0.8,0,0,0,0,0,0,0,0,-,0,34.1,0,0,12.44,0,12.44,0,20.16,21.88,20.04,44.32,34.16,64.10%,-,0,0,0,0,0,0,0,0,-,100.00%,80.00%,73.30%,1.8
17,ew74ruh9073colibnzr6qteui,,H. Hilo,Hassan Hilo,Left Centre Back,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,463644,Hassan,Hilo,Left Centre Back,26,2249,24,66.10%,2.36,0.28,0,0.08,2.76,5.16,1.36,0.00%,25.00%,0.16,1.32,0,49.20%,80.20%,20.20%,4.24,17,,0.02,0,0.04,0.8,Left Centre Back,0,0,0,0,0.4,1.76,0.36,0,0.04,0.24,0.4,4.72,0.4,4.96,10.08,0.08,0.48,0.48,0.72,9.12,2.52,1.2,2.68,4.64,1.92,3.88,7.16,5.24,0.08,0.04,0.16,0,0,0,0,0.24,50.00%,0.48,23.1,0.4,0.12,15.05,0.56,9.8,4.6,17.33,39.5,31.93,61.95,48.22,81.90%,71.40%,0.08,0,0.02,0,0.02,0.24,0.32,0,0.00%,45.20%,64.80%,69.10%,5.8
18,41557fmzcctiz4k29eool05ih,728313,T. Glazer,Tamir Glazer,Defensive Midfielder,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512597,Tamir,Glazer,Defensive Midfielder,27,2242,23,57.80%,2.57,0.48,0.08,0.04,2.61,2.09,1.45,9.10%,-,0,4.74,0.12,59.30%,73.40%,12.10%,2.49,14,,0.08,0,0,1.4,Defensive Midfielder,0.04,0,0,0,0.28,1.45,0.2,0,0.16,0.32,0.72,2.33,1.24,6.46,10.04,0.48,0.52,0.16,0.24,13.17,3.49,0.8,1.85,4.38,2.57,2.65,7.87,5.3,0.48,0,0,0,0,0,0,0.36,64.30%,0.56,18.3,2.45,2.01,18.63,3.45,6.26,5.18,13.41,29.34,23.97,49.74,37.57,78.10%,70.90%,0.48,0,0.01,0.04,0.08,0.44,0.48,0.12,25.00%,40.00%,55.60%,69.70%,4.54
19,earug82pg87gzwvm5yt1yd990,,A. Khalaili,Anan Khalaili,Right Wing Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,570794,Anan,Khalaili,Right Wing Back,29,2240,19,57.90%,2.29,0.76,0.08,0.84,1.69,0.92,2.37,14.30%,25.60%,3.62,33.51,0.24,70.50%,76.40%,7.40%,1.41,25,both,0.24,0.36,0,0.96,Right Wing Back,0.08,0,0,0,0.12,0.68,2.69,0.12,0.8,1.17,0.6,0.88,11.69,4.78,17.36,1.33,6.07,0.24,0.32,16.92,7.07,0.8,0.92,6.67,9.68,1.73,13.74,4.06,1.53,0.92,3.62,0.08,0.03,0.24,0.68,2.77,45.70%,6.07,16.1,12.98,20.29,22.82,16.59,1.37,3.29,6.31,23.71,32.63,57.98,30.42,77.90%,78.40%,1.53,0.2,0.24,0.32,0.24,2.25,3.05,1.08,35.50%,39.40%,48.50%,53.50%,4.18
20,ecwmmvkcayzydfuixdbrvdzop,,Y. Cohen,Yarden Cohen,Left Wing Back,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,234924,Yarden,Cohen,Left Wing Back,26,2235,27,67.00%,3.79,1.37,0.2,0.36,3.06,1.45,2.7,8.70%,24.10%,2.9,18.4,0.04,58.10%,70.20%,13.30%,1.77,16,,0.05,0.08,0,1.29,Left Wing Back,0.04,0,0,0,0.2,1.05,1.25,0,0.52,0.6,1.01,5.68,7.25,12.64,25.57,1.01,1.93,0.04,0.12,14.26,5.32,0.93,1.01,6,4.83,1.93,11.32,6.48,1.13,0.81,3.34,0.08,0,0,0.16,1.29,43.80%,2.94,17.6,4.51,7.21,22.99,6.36,6.93,4.75,18.12,26.13,31.01,70.87,38.01,68.80%,73.20%,1.13,0.12,0.1,0.08,0.05,0.93,1.25,0.32,25.80%,43.10%,53.00%,52.10%,6.6
