Player,League,Minutes played,Goals per 90,xG per 90,Shots per 90,Touches in box per 90,xA per 90,Key passes per 90,Second assists per 90,Shot assists per 90,Passes to penalty area per 90,Crosses per 90,Deep completions per 90,Dribbles per 90,Progressive passes per 90
Z. Ouattara,Portugal 1,1298,0.07,0.07,0.49,1.53,0.09,0.42,0,0.83,2.57,2.5,0.62,1.8,6.24
M. Coco,France 1,733,0.12,0.11,0.86,2.33,0.1,0.37,0,0.86,2.46,2.82,0.37,2.82,4.05
M. El Idrissy,France 1,2660,0.2,0.24,1.62,2.88,0.03,0.14,0.03,0.34,0.74,0.74,0.34,1.35,1.05
C. Nyman,Sweden1,2436,0.41,0.45,2.36,4.21,0.05,0.26,0.04,0.41,0.55,0.41,0.44,2.4,0.81
E. Ring,Sweden1,788,0,0.14,1.48,3.08,0.09,0.46,0,0.8,2.86,2.86,0.46,5.48,2.51
V. Backman,Sweden1,215,0,0.07,1.67,2.09,0,0,0,0.84,0.84,1.67,0,4.19,0.84
A. Sigurdsson,Sweden1,1070,0.5,0.33,2.61,2.36,0.31,1.01,0.08,1.77,3.7,2.19,2.69,5.8,5.47
H. Diallo,France 1,3117,0.58,0.57,2.45,4.3,0.08,0.32,0.03,0.49,0.75,0.46,0.52,1.85,1.07
A. Johansson,Sweden1,2092,0.26,0.2,1.68,3.14,0.14,0.52,0.09,1.29,2.5,2.67,0.56,3.27,3.96
Iván Jaime,Portugal 1,2021,0.4,0.35,3.07,2.36,0.11,0.27,0.04,1.25,2.4,1.16,0.94,6.77,3.96
R. Guitane,Portugal 1,835,0,0.01,0.54,0.75,0.09,0.32,0.11,0.54,3.45,0.97,1.51,4.96,3.56
David Costa,France 1,1500,0.06,0.18,1.62,2.64,0.17,0.84,0.12,1.38,4.68,2.64,2.1,3.54,5.76
R. Damus,Sweden1,1603,0.28,0.29,1.8,2.36,0.05,0.17,0,0.39,0.62,0.62,0.22,2.13,0.79
Otávio,Portugal 1,2469,0.18,0.2,1.35,1.75,0.19,0.66,0.26,1.49,6.42,1.82,3.21,3.68,9.88
A. Kaied,Sweden1,449,0,0.03,0.4,1.4,0,0,0,0,1.8,2,0.4,3.21,4.21
F. Bohman,Sweden1,649,0.14,0.14,0.69,3.33,0.02,0.28,0,0.14,0.69,1.39,0.55,1.94,1.8
B. Bourigeaud,France 1,3205,0.2,0.25,2.08,1.99,0.26,0.84,0.11,2.22,5.67,2.98,2.19,1.1,9.94
L. Suárez,France 1,313,0.86,0.95,4.6,6.04,0.01,0.29,0,0.29,0.86,0.29,0.58,2.01,2.59
D. Collander,Sweden1,243,0,0.13,1.85,2.59,0.12,0.37,0,0.37,1.85,2.22,0.74,4.81,4.44
Bruno Xadas,Portugal 1,2564,0.11,0.15,2.49,1.12,0.21,0.42,0.04,1.83,2.7,1.79,0.84,2.39,6.04
K. Holmberg,Sweden1,482,0.37,0.46,2.05,5.23,0.1,0.37,0,0.56,0.37,0.56,0.56,0.37,0.93
