Player,League,Minutes played,Goals per 90,xG per 90,Shots per 90,Touches in box per 90,xA per 90,Key passes per 90,Second assists per 90,Shot assists per 90,Passes to penalty area per 90,Crosses per 90,Deep completions per 90,Dribbles per 90,Progressive passes per 90
J. Amoako,Sweden1,332,0,0.15,2.17,2.98,0.01,0,0,0.81,2.44,2.17,0.54,2.71,2.98
A. Yakubu,Portugal 1,1370,0.46,0.27,1.31,2.69,0.06,0.33,0.07,0.53,1.12,1.31,0.46,2.63,1.12
Álex Millán,Portugal 1,825,0.22,0.31,1.2,2.95,0.16,0.33,0,0.98,0.87,1.2,0.65,2.29,1.53
Z. Elbouzedi,Sweden1,1268,0.07,0.09,0.64,2.56,0.17,0.57,0.07,0.85,3.55,4.19,1.21,6.1,3.48
G. Kyei,France 1,2373,0.38,0.51,2.2,2.88,0.06,0.27,0,0.53,0.87,0.42,0.57,3.19,1.55
M. Lacava,Portugal 1,437,0.21,0.28,2.06,2.47,0.05,0.21,0,0.21,2.06,2.47,0.41,7.41,1.65
M. Arai,Portugal 1,356,0,0.09,1.77,2.78,0.11,1.01,0,1.01,5.06,5.56,0.76,7.58,4.04
A. Lacazette,France 1,3126,0.78,0.72,3.02,4.81,0.15,0.63,0.03,1.18,2.33,1.21,2.1,2.99,2.62
S. Nwankwo,Sweden1,1643,0.49,0.36,2.19,4.33,0.04,0.33,0.05,0.49,0.71,0.88,0.71,4.05,1.15
W. Ben Yedder,France 1,2215,0.77,0.71,2.93,5.44,0.13,0.61,0.12,0.77,2.28,0.89,1.87,3.05,1.79
A. Alipour,Portugal 1,598,0.3,0.38,2.11,4.52,0.1,0.45,0,0.6,1.35,2.11,0.45,3.61,2.41
E. Wahi,France 1,2679,0.67,0.4,2.12,3.93,0.1,0.34,0,0.64,0.67,1.31,0.27,3.76,0.94
Miguel Baeza,Portugal 1,1188,0,0.06,0.98,0.76,0.06,0.15,0.15,0.83,1.14,0.68,0.3,1.74,3.86
K. Toko Ekambi,France 1,2459,0.26,0.3,2.05,4.43,0.15,0.73,0.04,1.17,1.57,1.5,1.17,3.77,2.82
Rúben Lameiras,Portugal 1,1273,0.07,0.15,2.26,2.62,0.13,0.42,0.07,1.2,3.39,2.69,0.85,4.88,4.6
Andrezinho,Portugal 1,624,0.14,0.33,1.15,2.74,0.17,0.72,0,1.44,3.17,2.6,1.44,3.89,4.76
Jota Silva,Portugal 1,1730,0.1,0.25,2.08,3.07,0.11,0.52,0,1.09,2.71,3.28,0.57,6.66,3.23
J. Dossou,France 1,291,0.31,0.17,1.86,1.86,0.09,0.31,0,0.62,0.93,2.78,0.62,8.66,2.78
Jô Batista,Portugal 1,410,0.22,0.43,2.85,3.95,0,0,0,0.22,0.22,0,0.44,4.61,0.66
J. Asoro,Sweden1,1714,0.32,0.3,2.42,4.83,0.17,0.63,0.11,1.16,1.84,2.52,1,6.25,2.15
Allano,Portugal 1,1219,0.07,0.11,0.74,1.55,0.1,0.22,0,0.66,3.62,3.1,0.66,4.58,4.95
Nélson Luz,Portugal 1,1340,0.2,0.11,1.68,2.15,0.01,0,0,0.2,1.81,1.88,0.47,7.93,2.35
Y. Belaïli,France 1,1588,0.34,0.42,2.44,2.55,0.23,0.45,0.06,1.3,3.46,1.87,1.59,6.35,5.84
Bruno Marques,Portugal 1,326,0.28,0.64,4.14,4.42,0.01,0,0,0.28,0.28,0.28,0,3.87,0.83
I. Niane,France 1,1189,0.15,0.3,1.82,2.95,0.05,0.23,0.08,0.3,0.38,0.45,0.23,2.42,1.44
J. Ito,France 1,3094,0.17,0.17,1.19,2.82,0.24,0.93,0.15,1.75,4.95,4.31,1.92,5.79,5.73
C. Kouakou,Sweden1,2303,0.27,0.4,2.77,3.36,0.03,0.12,0.04,0.23,0.47,0.59,0.35,1.21,0.59
Y. Cimignani,France 1,325,0,0.08,1.94,0.55,0,0,0,0.28,2.77,2.49,0,1.94,2.77
A. Claude-Maurice,France 1,747,0.6,0.3,2.05,2.89,0.15,0.48,0.12,0.84,1.2,1.33,0.6,3.37,1.93
Alisson Safira,Portugal 1,943,0.48,0.25,1.91,3.44,0.06,0.1,0,0.48,0.86,0.57,0.29,2.2,0.76
K. Gameiro,France 1,2264,0.4,0.43,1.75,3.82,0.09,0.6,0,0.8,1.83,1.03,1.23,1.95,2.62
A. van den Hurk,Sweden1,1299,0.21,0.21,1.25,2.22,0.01,0.21,0,0.21,0.55,0.21,0.21,0.97,0.9
S. Banza,Portugal 1,1624,0.61,0.51,2.33,3.77,0.05,0.22,0.06,0.5,0.67,0.61,0.28,2.83,0.67
Alejandro Marqués,Portugal 1,722,0.37,0.23,1,1.75,0,0,0,0,0.12,0,0,1.87,0.87
B. Bouanani,France 1,914,0,0.19,2.26,3.25,0.32,1.18,0,1.77,5.02,4.73,1.58,7.98,5.32
Leandro Sanca,Portugal 1,533,0.34,0.2,2.53,2.36,0.15,0.68,0.17,0.68,3.38,3.71,0.84,7.26,3.55
Hernâni,Portugal 1,814,0.22,0.25,2.76,2.76,0.07,0.22,0.11,0.88,2.65,2.54,0.44,5.86,2.87
M. Terrier,France 1,1387,0.58,0.37,2.92,5,0.15,0.52,0.06,1.17,2.66,1.56,1.49,3.05,3.18
M. Soumano,France 1,541,0.17,0.12,1,1.5,0.06,0.5,0,0.83,0.67,0.5,0.33,1.66,0.83
A. Elis,France 1,295,0,0.1,0.92,2.14,0.05,0.31,0,0.61,1.22,0.61,1.22,4.58,2.14
E. Boateng,Portugal 1,2035,0.27,0.25,1.59,2.39,0.01,0.13,0.04,0.4,0.66,0.22,0.31,2.34,0.88
A. Fatah,Sweden1,499,0.18,0.26,2.71,4.15,0.04,0,0.18,0.72,2.34,0.9,1.44,6.85,2.71
C. Bayala,France 1,2151,0.04,0.11,0.84,1.92,0.06,0.21,0,0.46,2.13,2.05,0.59,3.43,4.35
A. Doumbouya,Sweden1,289,0,0.15,1.25,0.93,0.21,0.31,0,0.62,1.87,0.62,1.56,4.67,5.61
Diogo Pinto,Portugal 1,537,0,0.13,0.67,1.68,0.08,0.34,0,1.17,1.17,1.01,0.67,1.84,2.18
M. Dembélé,France 1,964,0.28,0.5,2.43,4.01,0.02,0.19,0.19,0.37,1.59,0.37,1.21,1.12,1.21
A. Bernhardsson,Sweden1,1197,0.53,0.29,2.56,4.14,0.2,0.83,0,1.28,3.01,2.48,1.05,7.07,3.91
A. Jeremejeff,Sweden1,2368,0.84,0.75,3,4.52,0.12,0.42,0.08,0.72,1.37,0.27,1.33,1.56,1.41
M. Edwards,Portugal 1,2423,0.26,0.28,1.86,4.49,0.25,0.93,0.11,1.86,3.79,2.38,2.23,7.76,3.9
M. Autret,France 1,1351,0.13,0.15,1.47,1.27,0.13,0.33,0.07,1.67,3.2,2.46,0.8,1.6,5.73
Geny Catamo,Portugal 1,403,0.22,0.16,3.13,4.02,0.06,0.45,0,2.23,2.01,2.01,0.89,11.39,4.02
M. Berg,Sweden1,2404,0.49,0.45,2.88,5.58,0.06,0.41,0.07,0.97,1.68,0.22,1.12,1.57,2.58
Rafael Martins,Portugal 1,1533,0.35,0.28,1.82,2.94,0.01,0.06,0,0.29,0.53,0.23,0.41,0.76,1.82
P. Diouf,Sweden1,265,0.34,0.28,1.7,4.42,0.2,0.34,0,1.02,1.36,0.34,0.34,1.7,0.68
E. Marković,Sweden1,1890,0.1,0.22,2.1,2.95,0.13,0.48,0,1.19,3.1,3.86,0.86,5.86,4.14
W. González,Portugal 1,448,0,0.24,1.41,2.21,0.01,0,0.2,0.2,0.4,0.2,0.2,0.6,2.01
H. Radetinac,Sweden1,2249,0.2,0.15,1.24,3.4,0.05,0.32,0.08,0.76,2.56,1.64,1.32,3.4,4.32
B. Embolo,France 1,2007,0.54,0.42,1.66,3.45,0.19,0.58,0.04,1.17,1.97,0.31,1.43,4.3,2.02
J. Levi,Sweden1,2642,0.2,0.2,2.35,2.49,0.33,0.55,0.07,2.32,4.5,3.03,1.81,4.63,5.18
Mostafa Mohamed,France 1,2070,0.35,0.32,2.39,3.39,0.05,0.26,0.04,0.43,0.48,0.48,0.39,1.65,1.39
Fran Navarro,Portugal 1,3324,0.46,0.63,2.55,3.41,0.04,0.16,0,0.32,0.27,0.27,0.27,1.08,0.73
Antonio Zarzana,Portugal 1,314,0,0.04,1.15,0.86,0.03,0.29,0,0.29,2.58,2.87,0.29,5.45,4.3
